2021-02-03 08:11:31,039|[1]|INFO |abdc7701ea7d|DotStatServices.Transfer.Program|dotstatsuite-core-transfer application configured. Version number: 6.0.0.0|
2021-02-03 08:21:41,548|[1]|INFO |a07dbd24df08|DotStatServices.Transfer.Program|dotstatsuite-core-transfer application configured. Version number: 6.0.0.0|
2021-02-03 08:27:02,862|[1]|INFO |5b1f427307e7|DotStatServices.Transfer.Program|dotstatsuite-core-transfer application configured. Version number: 6.0.0.0|
2021-02-03 08:30:25,655|[13]|DEBUG|5b1f427307e7|Estat.Sri.Mapping.Api.Engine.AppConfigStore|AppConfigStore initialized|
2021-02-03 08:30:25,664|[13]|DEBUG|5b1f427307e7|Estat.Sri.Mapping.Api.Engine.AppConfigStore|AppConfigStore initialized|
2021-02-03 08:30:25,758|[13]|DEBUG|5b1f427307e7|Estat.Sri.MappingStoreRetrieval.Manager.Database|Got from configuration the parameter marker format '@{0}' for provider 'System.Data.SqlClient'|
2021-02-03 08:30:25,895|[14]|DEBUG|5b1f427307e7|DotStat.Db.DB.DotStatDbBase`1|SQL: SELECT NEXT VALUE FOR [management].[TRANSFER_SEQUENCE]|
2021-02-03 08:30:26,292|[14]|INFO |5b1f427307e7|Estat.Sri.MappingStoreRetrieval.Engine.ArtefactRetrieverEngine`1[[Org.Sdmxsource.Sdmx.Api.Model.Mutable.DataStructure.IDataflowMutableObject, Estat.SdmxSource.SdmxAPI, Version=8.1.2.0, Culture=neutral, PublicKeyToken=null]]|Executing Query: 'SELECT T.DF_ID as SYSID, A.ID,  A.AGENCY, dbo.versionToString(A.VERSION1, A.VERSION2, A.VERSION3) as VERSION, A.VALID_FROM, A.VALID_TO, A.URI, A.IS_FINAL, A.SERVICE_URL, A.STRUCTURE_URL, LN.TEXT, LN.LANGUAGE, LN.TYPE , PRODUCTION, EXTERNAL_USAGE,DATA_LAST_UPDATE FROM DATAFLOW T INNER JOIN ARTEFACT A ON T.DF_ID = A.ART_ID LEFT OUTER JOIN LOCALISED_STRING LN ON LN.ART_ID = A.ART_ID WHERE  A.ID = @Id  AND A.Version1 =@Version1 AND A.Version2 = @Version2 AND (((A.Version3 is null) and (@Version3 is null)) or (((A.Version3 is not null) and (@Version3 is not null)) and ( A.Version3 = @Version3 ))) AND  A.AGENCY = @Agency  ORDER BY A.ART_ID ' with 'agency: TN1, id: DF_POP_ESTIMATION_AGE_SEX, version: 1.0'|
2021-02-03 08:30:26,349|[14]|INFO |5b1f427307e7|org.estat.sri.sqlquerylogger|SELECT T.DF_ID as SYSID, A.ID,  A.AGENCY, dbo.versionToString(A.VERSION1, A.VERSION2, A.VERSION3) as VERSION, A.VALID_FROM, A.VALID_TO, A.URI, A.IS_FINAL, A.SERVICE_URL, A.STRUCTURE_URL, LN.TEXT, LN.LANGUAGE, LN.TYPE , PRODUCTION, EXTERNAL_USAGE,DATA_LAST_UPDATE FROM DATAFLOW T INNER JOIN ARTEFACT A ON T.DF_ID = A.ART_ID LEFT OUTER JOIN LOCALISED_STRING LN ON LN.ART_ID = A.ART_ID WHERE  A.ID = @Id  AND A.Version1 =@Version1 AND A.Version2 = @Version2 AND (((A.Version3 is null) and (@Version3 is null)) or (((A.Version3 is not null) and (@Version3 is not null)) and ( A.Version3 = @Version3 ))) AND  A.AGENCY = @Agency  ORDER BY A.ART_ID |
2021-02-03 08:30:26,359|[14]|INFO |5b1f427307e7|org.estat.sri.sqlquerylogger|select T.DF_ID as SYSID, AN.ANN_ID, AN.ID, AN.TITLE, AN.TYPE, AN.URL, AT.LANGUAGE, AT.TEXT from ANNOTATION AN LEFT OUTER JOIN ANNOTATION_TEXT AT ON AN.ANN_ID = AT.ANN_ID INNER JOIN ARTEFACT_ANNOTATION AA ON AA.ANN_ID = AN.ANN_ID INNER JOIN DATAFLOW T ON T.DF_ID = AA.ART_ID WHERE T.DF_ID = @p_id |
2021-02-03 08:30:26,364|[14]|DEBUG|5b1f427307e7|Estat.Sri.MappingStoreRetrieval.Engine.ArtefactRetrieverEngine`1[[Org.Sdmxsource.Sdmx.Api.Model.Mutable.DataStructure.IDataflowMutableObject, Estat.SdmxSource.SdmxAPI, Version=8.1.2.0, Culture=neutral, PublicKeyToken=null]]|RetrieveRef of Dsd SQL : SELECT DSD.DSD_ID, ART.ID, ART.VERSION, ART.AGENCY FROM DSD, DATAFLOW DF, ARTEFACT_VIEW ART WHERE DF.DSD_ID = DSD.DSD_ID AND DSD.DSD_ID = ART.ART_ID AND DF.DF_ID = @Id  |
